TestDataID,Rating
1,4.28219
2,4.21286
3,4.43495
4,2.71397
5,3.43461
6,3.50937
7,4.56763
8,3.37095
9,3.33677
10,2.61836
11,4.12737
12,3.35782
13,3.40978
14,3.59656
15,3.37965
16,3.62527
17,3.73714
18,3.94933
19,3.9338
20,3.68414
21,4.33373
22,4.5577
23,3.91747
24,3.01884
25,3.47632
26,3.01667
27,3.62
28,3.54189
29,1.59184
30,2.7899
31,2.97827
32,3.4926
33,3.33688
34,2.95874
35,3.95867
36,3.96684
37,3.59611
38,3.02378
39,3.02484
40,2.10113
41,3.66296
42,3.75412
43,2.73099
44,4.4445
45,3.97806
46,3.42429
47,3.35783
48,4.13713
49,3.51184
50,3.59015
51,3.88415
52,3.36018
53,4.38257
54,4.52699
55,3.98314
56,3.11594
57,4.28588
58,2.80595
59,4.10013
60,3.47038
61,3.14779
62,4.22056
63,4.21716
64,4.0239
65,4.34128
66,4.12582
67,4.09998
68,4.2317
69,3.34993
70,4.45315
71,3.33662
72,4.41147
73,3.1554
74,4.21011
75,2.75586
76,3.05817
77,4.20301
78,4.48787
79,4.40882
80,4.18667
81,4.43734
82,4.24489
83,4.02121
84,4.57941
85,4.59875
86,3.9272
87,4.82142
88,4.21335
89,3.74356
90,4.10519
91,4.17641
92,4.24759
93,4.12496
94,4.94155
95,3.94332
96,4.00826
97,4.30458
98,4.34622
99,4.41857
100,4.3964
101,3.81333
102,4.03566
103,5.04927
104,4.29384
105,4.15093
106,4.03119
107,4.06508
108,4.60443
109,3.9163
110,4.03757
111,4.70661
112,4.48524
113,4.80446
114,3.59517
115,4.39184
116,2.46273
117,4.19773
118,3.16592
119,3.78648
120,2.96886
121,2.02572
122,3.31314
123,4.28431
124,2.98216
125,3.19801
126,4.85525
127,4.30927
128,4.60225
129,3.5892
130,2.8006
131,3.76018
132,4.04465
133,4.46254
134,4.72411
135,2.51404
136,4.52529
137,4.33058
138,4.04047
139,3.87231
140,3.07014
141,2.89863
142,3.32816
143,3.49487
144,3.44717
145,3.56188
146,3.32638
147,3.77013
148,4.23033
149,3.29355
150,3.1295
151,3.51725
152,3.60658
153,3.40075
154,2.28526
155,3.50605
156,3.15209
157,4.26071
158,4.12514
159,2.84459
160,4.2732
161,3.69792
162,3.18777
163,3.09457
164,2.58092
165,3.1155
166,3.07376
167,3.74114
168,3.8563
169,2.99347
170,4.61911
171,4.02546
172,4.22807
173,3.29706
174,4.7648
175,3.82337
176,4.25475
177,4.49
178,4.06788
179,4.61655
180,2.88905
181,4.29735
182,4.28411
183,4.27717
184,3.53045
185,4.38506
186,3.86943
187,3.81701
188,3.2353
189,4.11801
190,4.507
191,3.45878
192,4.14288
193,2.55293
194,4.57787
195,4.19588
196,2.92602
197,4.2645
198,4.28568
199,2.76352
200,4.55254
201,4.28989
202,4.01435
203,1.77459
204,3.97822
205,1.74525
206,3.29385
207,4.25211
208,4.46459
209,2.54418
210,4.64612
211,3.44279
212,4.06557
213,4.349
214,2.07516
215,4.64402
216,2.098
217,5.02316
218,3.6995
219,4.84515
220,1.94664
221,4.39168
222,4.63656
223,4.75503
224,4.17797
225,2.99306
226,4.24126
227,1.12393
228,2.70692
229,2.21169
230,4.78003
231,4.021
232,2.59292
233,4.27704
234,3.87726
235,2.70711
236,4.58355
237,4.08137
238,3.49229
239,3.77258
240,3.35305
241,3.37143
242,3.0874
243,3.56708
244,4.59833
245,4.27686
246,3.86481
247,3.69873
248,3.02648
249,3.35888
250,3.5969
251,3.31038
252,4.75689
253,2.75632
254,3.3504
255,2.42252
256,2.98359
257,2.94247
258,2.74201
259,3.19177
260,2.66506
261,2.30692
262,3.05435
263,2.76383
264,3.01037
265,2.21817
266,3.5441
267,3.56774
268,3.00124
269,3.6781
270,3.98164
271,2.73254
272,3.76266
273,2.85126
274,2.39823
275,4.08109
276,2.45793
277,2.37773
278,3.53696
279,2.96177
280,3.97055
281,3.27853
282,4.50491
283,3.33918
284,3.37149
285,3.3294
286,2.88811
287,2.75281
288,3.62417
289,3.31968
290,3.18669
291,2.60431
292,3.27105
293,3.28058
294,3.17329
295,2.8711
296,3.8915
297,3.12705
298,4.03684
299,4.15216
300,3.18863
301,3.56756
302,4.11656
303,3.67187
304,3.51656
305,3.18464
306,3.82176
307,3.0788
308,3.26624
309,3.30756
310,3.99918
311,3.55193
312,3.49626
313,3.60173
314,3.12034
315,3.27395
316,3.94918
317,2.89788
318,4.4926
319,3.14899
320,4.4437
321,3.97087
322,3.74212
323,3.78972
324,3.3222
325,4.61963
326,4.27697
327,2.98547
328,2.81836
329,2.43811
330,3.55792
331,2.87209
332,3.40102
333,4.00414
334,4.03298
335,3.75357
336,2.73171
337,2.42164
338,2.43384
339,2.72392
340,3.12403
341,3.08249
342,2.06345
343,3.32755
344,2.80928
345,2.53449
346,2.68194
347,2.20058
348,3.33369
349,3.53238
350,2.91358
351,1.70718
352,3.46821
353,2.26412
354,3.07861
355,2.76223
356,3.64085
357,2.86133
358,2.11265
359,3.3995
360,3.0601
361,3.09371
362,3.10084
363,2.66326
364,2.14438
365,2.6451
366,2.86503
367,2.89266
368,2.97468
369,4.7747
370,4.36166
371,4.58006
372,4.55452
373,4.09334
374,4.00484
375,3.9552
376,4.05409
377,3.91771
378,3.98759
379,3.72164
380,3.44943
381,3.98644
382,3.33975
383,4.27345
384,2.85026
385,4.01323
386,3.47351
387,3.9962
388,3.18377
389,3.88631
390,3.81679
391,3.56948
392,3.10708
393,3.86505
394,3.864
395,3.18729
396,2.98667
397,3.29076
398,3.04167
399,4.16731
400,3.88605
401,3.3761
402,3.14808
403,3.39568
404,3.36465
405,3.43734
406,3.40436
407,4.08967
408,4.14044
409,3.30734
410,3.66504
411,3.48678
412,4.16712
413,3.92904
414,3.51444
415,3.61785
416,3.10648
417,3.55081
418,3.85332
419,3.85628
420,1.85793
421,3.08776
422,3.95945
423,3.90763
424,3.74251
425,4.0023
426,3.50765
427,3.78864
428,3.7667
429,3.97932
430,3.65076
431,3.43913
432,3.50986
433,3.19457
434,3.09619
435,3.1516
436,3.28068
437,3.21208
438,3.99986
439,3.57078
440,3.1166
441,3.74359
442,3.73804
443,3.56237
444,3.42279
445,3.31031
446,3.34923
447,3.70548
448,3.85105
449,3.47622
450,3.84909
451,3.26087
452,2.85785
453,3.23814
454,3.69856
455,2.88102
456,2.87293
457,3.13624
458,3.34186
459,3.96838
460,3.44859
461,3.31041
462,4.4546
463,3.60877
464,3.4305
465,3.9833
466,4.28024
467,2.49369
468,3.22574
469,3.75723
470,4.1569
471,3.70347
472,3.38071
473,3.45755
474,3.40302
475,3.14717
476,3.46982
477,3.53596
478,2.85489
479,3.65514
480,3.45202
481,3.52616
482,3.74549
483,4.34647
484,4.64966
485,5.33974
486,4.00405
487,4.07447
488,4.3233
489,4.05572
490,3.46948
491,4.19479
